,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP', 'NPS'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V', 'NPO'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
149,0.95,0,0,0.05,0,0.684210526,0.192982456,0.105263158,0.01754386,0,0,0,0,0,0.037037037,0,0.037037037,0,0.925925926,1,0.122807018,0.771929825,0.105263158,0,0
150,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.5,0,0,0.25,0.25,0.071428571,0.035714286,0.035714286,0,0.857142857,1,0.074074074,0.814814815,0.111111111,0,0
151,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,0.833333333,0,0,0.166666667,0,0.038461538,0.076923077,0,0.019230769,0.865384615,1,0.089285714,0.785714286,0.107142857,0,0.017857143
152,1,0,0,0,0,0.629032258,0.177419355,0.177419355,0.016129032,1,0,0,0,0,0.019607843,0,0,0.019607843,0.960784314,1,0.072727273,0.8,0.109090909,0,0.018181818
153,1,0,0,0,0,0.619047619,0.174603175,0.19047619,0.015873016,0,0,0,0,0,0,0,0,0,1,1,0.071428571,0.785714286,0.107142857,0,0.035714286
154,0.947368421,0,0,0.052631579,0,0.672413793,0.189655172,0.120689655,0.017241379,1,0,0,0,0,0.038461538,0.019230769,0,0,0.942307692,1,0.087719298,0.771929825,0.105263158,0,0.035087719
155,1,0,0,0,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.152542373,0,0,0.016949153,0.830508475,1,0.055555556,0.814814815,0.111111111,0,0.018518519
156,0.947368421,0,0,0.052631579,0,0.709090909,0.2,0.072727273,0.018181818,1,0,0,0,0,0.107142857,0.017857143,0,0,0.875,1,0.071428571,0.785714286,0.107142857,0,0.035714286
157,0.904761905,0,0,0.095238095,0,0,0,0,0,0,0.696428571,0.196428571,0.107142857,0,0.13559322,0.745762712,0.016949153,0.101694915,0,1,0.019230769,0,0,0.961538462,0.019230769
158,0.944444444,0,0,0.055555556,1,0,0,0,0,0,0.722222222,0.203703704,0.074074074,0,0.180327869,0.721311475,0,0.098360656,0,1,0,0.019607843,0.019607843,0.941176471,0.019607843
