,"('S', ('VP',))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('VP', 'NP'))","('VP', ('V', 'NP'))","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
115,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
116,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
117,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
118,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
119,0.8,0.0,0.0,0.2,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,1.0,1.0
120,0.8,0.0,0.0,0.2,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,1.0,1.0
121,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
122,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
123,0.5,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,0.7,0.0,0.0,0.3,0.0,1.0,1.0
124,0.5,0.0,0.2857142857142857,0.21428571428571427,0.0,0.0,0.7,0.0,0.0,0.3,0.0,1.0,1.0
125,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
126,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
127,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
128,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
129,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
130,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
131,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
132,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
133,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
134,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
135,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
136,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
137,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
138,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
139,0.75,0.0,0.0,0.25,0.0,0.0,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,1.0,1.0
140,0.75,0.0,0.0,0.25,0.0,0.0,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,1.0,1.0
141,0.6333333333333333,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
142,0.5666666666666667,0.06666666666666667,0.26666666666666666,0.1,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
143,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,1.0,1.0
144,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
145,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
146,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
147,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
148,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
149,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0
150,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
151,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0
152,0.6363636363636364,0.0,0.09090909090909091,0.0,0.2727272727272727,0.0,0.7391304347826086,0.13043478260869565,0.0,0.13043478260869565,0.0,1.0,1.0
153,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
154,0.7,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.2857142857142857,0.21428571428571427,0.0,1.0,1.0
155,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
156,0.15,0.0,0.0,0.85,0.0,0.35,0.0,0.0,0.0,0.65,0.125,0.875,1.0
157,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
158,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0967741935483871,0.9032258064516129,1.0
159,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
160,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.25925925925925924,0.7407407407407407,0.125,0.875,1.0
161,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
162,0.75,0.0,0.0,0.25,0.0,0.0,0.5357142857142857,0.0,0.2857142857142857,0.17857142857142858,0.0,1.0,1.0
163,0.8,0.0,0.0,0.2,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,1.0,1.0
164,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
165,0.85,0.0,0.0,0.15,0.0,0.0,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,1.0,1.0
166,0.3,0.0,0.0,0.7,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.5,0.0,1.0,1.0
167,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
168,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
169,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
170,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.15151515151515152,0.24242424242424243,0.6060606060606061,0.0,1.0,1.0
171,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
172,0.15,0.0,0.0,0.85,0.0,0.0,0.10714285714285714,0.0,0.2857142857142857,0.6071428571428571,0.0,1.0,1.0
173,0.2,0.0,0.0,0.8,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,1.0,1.0
174,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
175,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
176,0.6071428571428571,0.0,0.2857142857142857,0.10714285714285714,0.0,0.0,0.85,0.0,0.0,0.15,0.0,1.0,1.0
177,0.25,0.0,0.0,0.75,0.0,0.0,0.17857142857142858,0.0,0.2857142857142857,0.5357142857142857,0.0,1.0,1.0
178,0.15,0.0,0.0,0.85,0.0,0.0,0.0,0.0967741935483871,0.25806451612903225,0.6451612903225806,0.0,1.0,1.0
