,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('S', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('VP', ('NP', 'V'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
68,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
69,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
70,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
71,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
72,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
73,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
74,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
76,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
77,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
78,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
79,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
86,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
87,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
88,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
89,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
90,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
91,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
92,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
93,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.8,0.0,0.0,0.0,0.2,1.0,0.0,1.0
94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
95,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
96,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
97,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,1.0,0.0,1.0
98,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
99,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
100,0.7,0.0,0.0,0.3,0.0,0.5,0.2857142857142857,0.0,0.0,0.21428571428571427,1.0,0.0,1.0
101,0.4,0.0,0.0,0.6,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.42857142857142855,1.0,0.0,1.0
102,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
103,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
104,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.6,1.0,0.0,1.0
105,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
106,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
107,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
108,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
109,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
110,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
111,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
112,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
113,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
114,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,1.0
115,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,1.0
116,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
117,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
118,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
119,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
120,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
121,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
122,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
123,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
124,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
125,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
126,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
127,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
128,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
129,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
130,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
131,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
132,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
136,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
137,0.3,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
138,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
140,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.3,1.0,0.0,1.0
