,"('S', ('VP',))","('S', ('S', 'NPA'))","('S', ('NPS', 'VP'))","('S', ('NPA', 'S'))","('VP', ('NPA', 'VP'))","('VP', ('V',))","('VP', ('VP', 'NPA'))","('VP', ('NPO', 'V'))","('NPS', ('NPS', 'NPA'))","('NPS', ('NPA', 'NPS'))","('NPS', 'np2')","('NPS', 'np1')","('NPS', 'np')","('NPO', ('NPO', 'NPA'))","('NPO', ('NPA', 'NPO'))","('NPO', 'np2')","('NPO', 'np1')","('NPO', 'np')","('NPA', ('NPA', 'NPA'))","('NPA', 'np2')","('NPA', 'np1')","('NPA', 'np')","('V', 'v')"
26,0.125,0.0,0.7678571428571429,0.10714285714285714,0.0,0.847457627118644,0.15254237288135594,0.0,0.0,0.17307692307692307,0.17307692307692307,0.6346153846153846,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.6428571428571429,1.0
27,0.7903225806451613,0.06451612903225806,0.016129032258064516,0.12903225806451613,0.06779661016949153,0.11864406779661017,0.0847457627118644,0.7288135593220338,0.5,0.0,0.0,0.0,0.5,0.022222222222222223,0.022222222222222223,0.2222222222222222,0.7333333333333333,0.0,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.6923076923076923,1.0
28,0.78125,0.125,0.0,0.09375,0.05555555555555555,0.1111111111111111,0.018518518518518517,0.8148148148148148,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.2,0.68,0.0,0.038461538461538464,0.038461538461538464,0.19230769230769232,0.7307692307692307,1.0
29,0.7407407407407407,0.05555555555555555,0.18518518518518517,0.018518518518518517,0.0,0.08928571428571429,0.10714285714285714,0.8035714285714286,0.08333333333333333,0.08333333333333333,0.0,0.0,0.8333333333333334,0.02127659574468085,0.02127659574468085,0.2127659574468085,0.723404255319149,0.02127659574468085,0.0,0.07142857142857142,0.35714285714285715,0.5714285714285714,1.0
30,0.09523809523809523,0.015873015873015872,0.6984126984126984,0.19047619047619047,0.017241379310344827,0.8620689655172413,0.1206896551724138,0.0,0.0,0.06382978723404255,0.19148936170212766,0.723404255319149,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.6923076923076923,1.0
31,0.0847457627118644,0.11864406779661017,0.7627118644067796,0.03389830508474576,0.0,0.9615384615384616,0.038461538461538464,0.0,0.017857142857142856,0.17857142857142858,0.17857142857142858,0.6071428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.19230769230769232,0.6923076923076923,1.0
32,0.1111111111111111,0.018518518518518517,0.8148148148148148,0.05555555555555555,0.017241379310344827,0.8448275862068966,0.1206896551724138,0.017241379310344827,0.0,0.2,0.18181818181818182,0.6181818181818182,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.04,0.2,0.72,1.0
33,0.10344827586206896,0.13793103448275862,0.7586206896551724,0.0,0.019230769230769232,0.9423076923076923,0.019230769230769232,0.019230769230769232,0.0,0.2413793103448276,0.1724137931034483,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.041666666666666664,0.20833333333333334,0.75,1.0
34,0.09836065573770492,0.08196721311475409,0.7213114754098361,0.09836065573770492,0.01818181818181818,0.9090909090909091,0.07272727272727272,0.0,0.0,0.16981132075471697,0.18867924528301888,0.6226415094339622,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.24,0.72,1.0
35,0.09230769230769231,0.1076923076923077,0.676923076923077,0.12307692307692308,0.0,0.9615384615384616,0.038461538461538464,0.0,0.019230769230769232,0.1346153846153846,0.19230769230769232,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.76,1.0
