"('NP', 'np')","('NP', ('NP', 'NP'))","('S', ('NP', 'S'))","('S', ('NP', 'VP'))","('S', ('S', 'NP'))","('S', ('VP', 'NP'))","('S', ('VP',))","('V', 'v')","('VP', ('NP', 'V'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('VP', 'NP'))",
1,0,0,0,0.375,0,0.625,1,0.7272727272727273,0.090909091,0,0.18181818181818182,0,176
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,177
1,0,0,0.125,0.375,0,0.5,1,0.7,0,0,0.3,0,178
1,0,0,0,0.375,0,0.625,1,0.7272727272727273,0.090909091,0,0.18181818181818182,0,179
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,180
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,181
0.9375,0.0625,0,0,0.375,0,0.625,1,0.8,0,0,0.2,0,182
1,0,0,0.0625,0.375,0,0.5625,1,0.8,0,0,0.2,0,183
1,0,0,0.0625,0.375,0,0.5625,1,0.8,0,0,0.2,0,184
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,185
1,0,0,0.7,0,0,0.3,1,0,0.1111111111111111,0,0.5555555555555556,0.3333333333333333,186
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,187
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,188
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,189
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,190
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,191
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,192
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,193
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,194
1,0,0,0.8,0,0,0.2,1,0.0625,0,0,0.5625,0.375,195
0.9375,0.0625,0,0.8,0,0,0.2,1,0,0,0,0.625,0.375,196
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,197
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,198
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,199
1,0,0,0,0.375,0,0.625,1,0.46153846153846156,0.23076923076923078,0,0.3076923076923077,0,200
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,201
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,202
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,203
0.8823529411764706,0.11764705882352941,0,0,0.3333333333333333,0,0.6666666666666666,1,0.8,0,0,0.2,0,204
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,205
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,206
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,207
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,208
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,209
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,210
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,211
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,212
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,213
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,214
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,215
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,216
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,217
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,218
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,219
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,220
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,221
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,222
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,223
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,224
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,225
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,226
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,227
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,228
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,229
1,0,0,0.2,0,0,0.8,1,0.4375,0,0,0.1875,0.375,230
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,231
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,232
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,233
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,234
1,0,0.090909091,0,0,0,0.9090909090909091,1,0.5,0,0,0.125,0.375,235
1,0,0.090909091,0,0,0,0.9090909090909091,1,0.5,0,0,0.125,0.375,236
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,237
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,238
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,239
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,240
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,241
1,0,0,0.5,0.375,0,0.125,1,0,0.090909091,0,0.9090909090909091,0,242
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,243
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,244
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,245
1,0,0.058823529411764705,0.47058823529411764,0.35294117647058826,0,0.11764705882352941,1,0,0,0,1,0,246
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,247
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,248
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,249
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,250
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,251
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,252
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,253
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,254
1,0,0.090909091,0.7272727272727273,0,0,0.18181818181818182,1,0,0,0,0.625,0.375,255
1,0,0.090909091,0.7272727272727273,0,0,0.18181818181818182,1,0,0,0,0.625,0.375,256
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,257
0.9375,0.0625,0,0.8,0,0,0.2,1,0,0,0,0.625,0.375,258
0.9375,0.0625,0,0.8,0,0,0.2,1,0,0,0,0.625,0.375,259
1,0,0,0,0,0,1,1,0.47058823529411764,0.058823529411764705,0,0.11764705882352941,0.35294117647058826,260
1,0,0,0.5,0.375,0,0.125,1,0.1,0,0,0.9,0,261
1,0,0.090909091,0,0,0,0.9090909090909091,1,0.5,0,0,0.125,0.375,262
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,263
1,0,0.090909091,0.7272727272727273,0,0,0.18181818181818182,1,0,0,0,0.625,0.375,264
1,0,0,0.8,0,0,0.2,1,0.0625,0,0,0.5625,0.375,265
0.8823529411764706,0.11764705882352941,0,0.8,0,0,0.2,1,0,0,0.5,0.5,0,266
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,267
0.8823529411764706,0.11764705882352941,0,0,0,0.5,0.5,1,0.8,0,0,0.2,0,268
