,"('S', ('VP',))","('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('V',))","('VP', ('NP', 'VP'))","('VP', ('NP', 'V'))","('VP', ('V', 'NP'))","('NP', 'np')","('NP', ('NP', 'NP'))","('V', 'v')"
92,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
93,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
94,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
95,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
96,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
97,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
98,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
99,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
100,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
101,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
102,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
103,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
104,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
105,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
106,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
107,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
108,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
109,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
110,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
111,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
112,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
113,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
114,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
115,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
116,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
117,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
118,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
119,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
120,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
121,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
122,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
123,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
124,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
125,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
126,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
127,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
128,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
129,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
130,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
131,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
132,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
133,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
134,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
135,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
136,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
137,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
138,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
139,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
140,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
141,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
142,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
143,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
144,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
145,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
146,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
147,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
148,0.7037037037037037,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
149,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
150,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
151,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
152,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
153,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
154,0.7142857142857143,0.0,0.0,0.25,0.03571428571428571,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
155,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
156,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
157,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
158,0.95,0.05,0.0,0.0,0.0,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
159,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
160,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.7407407407407407,0.25925925925925924,0.0,0.0,1.0,0.0,1.0
161,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
162,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
163,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
164,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
165,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.0,0.95,0.0,0.0,0.05,1.0,0.0,1.0
166,0.7407407407407407,0.0,0.0,0.25925925925925924,0.0,0.047619047619047616,0.9523809523809523,0.0,0.0,0.0,1.0,0.0,1.0
167,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,0.0,1.0,0.0,1.0
168,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
169,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
170,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,0.25925925925925924,0.0,0.037037037037037035,1.0,0.0,1.0
