,"('NPA', 'np')","('NPA', 'np1')","('NPA', 'np2')","('NPA', ('NPA', 'NPA'))","('NPO', 'np')","('NPO', 'np1')","('NPO', 'np2')","('NPO', ('NPA', 'NPO'))","('NPO', ('NPO', 'NPA'))","('NPS', 'np')","('NPS', 'np1')","('NPS', 'np2')","('NPS', ('NPA', 'NPS'))","('NPS', ('NPS', 'NPA'))","('S', ('NPA', 'S'))","('S', ('NPS', 'VP'))","('S', ('S', 'NPA'))","('S', ('VP',))","('V', 'v')","('VP', ('NPA', 'VP'))","('VP', ('NPO', 'V'))","('VP', ('V',))","('VP', ('VP', 'NPA'))"
685,0.739130435,0.217391304,0.043478261,0,0.018181818,0.618181818,0.181818182,0.163636364,0.018181818,1,0,0,0,0,0.036363636,0.018181818,0.054545455,0.890909091,1,0.034482759,0.775862069,0.086206897,0.103448276
686,0.739130435,0.217391304,0.043478261,0,0.01754386,0.596491228,0.175438596,0.192982456,0.01754386,1,0,0,0,0,0,0.019230769,0.038461538,0.942307692,1,0.033898305,0.762711864,0.084745763,0.118644068
687,0.76,0.2,0.04,0,0,0.596491228,0.175438596,0.210526316,0.01754386,0,0,0,0,0,0,0,0,1,1,0.048387097,0.709677419,0.096774194,0.14516129
688,0.625,0.3125,0.0625,0,0,0.693877551,0.204081633,0.081632653,0.020408163,0.9,0,0,0.1,0,0,0.166666667,0.074074074,0.759259259,1,0.017857143,0.785714286,0.107142857,0.089285714
689,0.4375,0.4375,0.0625,0.0625,0,0.727272727,0.227272727,0.045454545,0,0.857142857,0,0,0.071428571,0.071428571,0.01754386,0.210526316,0.105263158,0.666666667,1,0.018867925,0.79245283,0.150943396,0.037735849
690,0.76,0.2,0.04,0,0,0,0,0,0,0,0.68,0.2,0.1,0.02,0.163934426,0.721311475,0.016393443,0.098360656,1,0,0,0.862068966,0.137931034
691,0.708333333,0.208333333,0.041666667,0.041666667,1,0,0,0,0,0.02173913,0.739130435,0.217391304,0.02173913,0,0.1875,0.703125,0.03125,0.078125,1,0,0.01754386,0.859649123,0.122807018
692,0.578947368,0.315789474,0.052631579,0.052631579,0,0.75,0.204545455,0.022727273,0.022727273,0.8,0,0.1,0,0.1,0.070175439,0.157894737,0.052631579,0.719298246,1,0.01754386,0.736842105,0.140350877,0.105263158
693,0.571428571,0.357142857,0.071428571,0,0,0.739130435,0.195652174,0.043478261,0.02173913,0.846153846,0,0.076923077,0,0.076923077,0.018518519,0.222222222,0.055555556,0.703703704,1,0,0.767857143,0.125,0.107142857
694,0.5625,0.375,0.0625,0,0.021276596,0.70212766,0.212765957,0.042553191,0.021276596,1,0,0,0,0,0.064516129,0.14516129,0.129032258,0.661290323,1,0,0.862745098,0.117647059,0.019607843
695,0.5,0.375,0.0625,0.0625,0,0.70212766,0.212765957,0.063829787,0.021276596,1,0,0,0,0,0.018518519,0.203703704,0.055555556,0.722222222,1,0.017857143,0.767857143,0.125,0.089285714
696,0.76,0.2,0.04,0,0,0,0,0,0,0,0.596491228,0.175438596,0.228070175,0,0.019607843,0.862745098,0,0.117647059,1,0.032786885,0,0.819672131,0.147540984
697,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.017241379,0.586206897,0.172413793,0.206896552,0.017241379,0.034482759,0.775862069,0.103448276,0.086206897,1,0,0,0.943396226,0.056603774
698,0.708333333,0.25,0.041666667,0,0,0,0,0,0,0.035714286,0.589285714,0.178571429,0.196428571,0,0.063492063,0.714285714,0.142857143,0.079365079,1,0,0,1,0
699,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.01754386,0.596491228,0.175438596,0.192982456,0.01754386,0.048387097,0.725806452,0.14516129,0.080645161,1,0,0,1,0
700,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.018181818,0.618181818,0.181818182,0.181818182,0,0.070175439,0.789473684,0.052631579,0.087719298,1,0.01754386,0,0.877192982,0.105263158
701,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.017241379,0.586206897,0.172413793,0.224137931,0,0.019230769,0.865384615,0.019230769,0.096153846,1,0.016949153,0,0.847457627,0.13559322
702,0.75,0.208333333,0.041666667,0,0,0,0,0,0,0.016949153,0.576271186,0.169491525,0.220338983,0.016949153,0.017857143,0.803571429,0.089285714,0.089285714,1,0,0,0.925925926,0.074074074
703,0.692307692,0.230769231,0.038461538,0.038461538,0,0,0,0,0,0.01754386,0.578947368,0.175438596,0.228070175,0,0.016949153,0.745762712,0.13559322,0.101694915,1,0.038461538,0,0.961538462,0
