,"('S', ('VP', 'NP'))","('S', ('NP', 'VP'))","('S', ('NP', 'S'))","('S', ('VP',))","('S', ('S', 'NP'))","('VP', ('VP', 'NP'))","('VP', ('NP', 'VP'))","('VP', ('V', 'NP'))","('VP', ('V',))","('VP', ('NP', 'V'))","('NP', ('NP', 'NP'))","('NP', 'np')","('V', 'v')"
23,0.04477611940298507,0.5671641791044776,0.05970149253731343,0.13432835820895522,0.19402985074626866,0.0,0.0196078431372549,0.0784313725490196,0.7843137254901961,0.11764705882352941,0.0,1.0,1.0
24,0.0,0.48333333333333334,0.0,0.35,0.16666666666666666,0.017857142857142856,0.08928571428571429,0.16071428571428573,0.4642857142857143,0.26785714285714285,0.0,1.0,1.0
25,0.0,0.6,0.015384615384615385,0.16923076923076924,0.2153846153846154,0.0,0.12280701754385964,0.10526315789473684,0.7368421052631579,0.03508771929824561,0.0,1.0,1.0
26,0.0,0.582089552238806,0.014925373134328358,0.16417910447761194,0.23880597014925373,0.0,0.05660377358490566,0.05660377358490566,0.8113207547169812,0.07547169811320754,0.041666666666666664,0.9583333333333334,1.0
27,0.0,0.5714285714285714,0.014285714285714285,0.14285714285714285,0.2714285714285714,0.01818181818181818,0.07272727272727272,0.0,0.8727272727272727,0.03636363636363636,0.028169014084507043,0.971830985915493,1.0
28,0.05,0.65,0.0,0.13333333333333333,0.16666666666666666,0.017241379310344827,0.1206896551724138,0.08620689655172414,0.7413793103448276,0.034482758620689655,0.028169014084507043,0.971830985915493,1.0
29,0.07142857142857142,0.5357142857142857,0.017857142857142856,0.2857142857142857,0.08928571428571429,0.028985507246376812,0.2463768115942029,0.11594202898550725,0.5942028985507246,0.014492753623188406,0.014285714285714285,0.9857142857142858,1.0
30,0.05263157894736842,0.6666666666666666,0.0,0.15789473684210525,0.12280701754385964,0.01639344262295082,0.16393442622950818,0.14754098360655737,0.6557377049180327,0.01639344262295082,0.0,1.0,1.0
31,0.21818181818181817,0.0,0.05454545454545454,0.6909090909090909,0.03636363636363636,0.04838709677419355,0.14516129032258066,0.04838709677419355,0.16129032258064516,0.5967741935483871,0.0,1.0,1.0
32,0.10714285714285714,0.19642857142857142,0.05357142857142857,0.5892857142857143,0.05357142857142857,0.03636363636363636,0.05454545454545454,0.16363636363636364,0.2,0.5454545454545454,0.028169014084507043,0.971830985915493,1.0
33,0.047619047619047616,0.06349206349206349,0.047619047619047616,0.6825396825396826,0.15873015873015872,0.05084745762711865,0.1016949152542373,0.06779661016949153,0.1864406779661017,0.5932203389830508,0.014285714285714285,0.9857142857142858,1.0
34,0.01694915254237288,0.22033898305084745,0.0,0.6101694915254238,0.15254237288135594,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.25,0.5,0.0547945205479452,0.9452054794520548,1.0
35,0.046875,0.15625,0.0,0.578125,0.21875,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.20754716981132076,0.7169811320754716,0.0,1.0,1.0
36,0.11864406779661017,0.13559322033898305,0.03389830508474576,0.5932203389830508,0.11864406779661017,0.07407407407407407,0.0,0.018518518518518517,0.2222222222222222,0.6851851851851852,0.041666666666666664,0.9583333333333334,1.0
37,0.16071428571428573,0.03571428571428571,0.07142857142857142,0.6964285714285714,0.03571428571428571,0.13114754098360656,0.04918032786885246,0.0,0.22950819672131148,0.5901639344262295,0.06756756756756757,0.9324324324324325,1.0
